,Dataset,Model,Accuracy,Average Confidence,Standard Deviation Confidence,Average Entropy,Average mean,Average variance,Average skewness,Average kurtosis,Average top5 Entropy,Average top5 mean,Average top5 variance,Average top5 skewness,Average top5 kurtosis,top2_grad_confidence
309,gaussian-blur5,resnet34,0.62174,0.5672001066018455,0.05758678095613129,-3.4114940500791158,1.781433999880483e-10,0.0005852653845905,11.861242474331856,472.4581044169998,-0.8321902368420088,0.10774362723570319,0.1133895832745721,0.4445431471485801,0.5189896266245841,0.546954583729521
310,gaussian-blur5,resnet101,0.61852,0.5675188825010509,-0.011366725240659903,-3.251158675056509,1.9008060013134265e-10,0.0006090161922375,11.169218121404647,453.83297018964765,-0.8762263367270512,0.09942047403119501,0.12085312755787911,0.44828055337568296,0.5402748541092873,0.5690050296197549
311,gaussian-blur5,resnet152,0.6296200000000001,0.5546995095871575,-0.023566498799052205,-3.0943888965616613,1.9687929997229403e-10,0.0006050690219605,10.533087970714572,433.86652373611463,-0.8722962059866239,0.09344903457591319,0.12111706906292,0.4418250108729169,0.5381115675878525,0.5650753057351673
312,gaussian-blur5,vgg16,0.67506,0.6676777918284015,0.1807206586230768,-4.505248565311827,1.1154449998211635e-10,0.0006316519976268663,17.90655070044756,652.339542655878,-0.9320889091875038,0.1467921663403512,0.11801641132014659,0.5513338715545075,0.6115415080595018,0.6034715683619697
313,gaussian-blur5,vgg19,0.6805599999999999,0.6610711124392972,0.1676807242609296,-4.353397093010856,1.1316499994029616e-10,0.0006350085935978101,16.927094042263032,628.4602325491334,-0.9317336352288826,0.1416003476628195,0.1194307438892531,0.5416256813268934,0.6099274306869507,0.6044420256839871
314,gaussian-blur5,alexnet,0.53238,0.5115018709877134,0.21921689559278768,-3.7299328377528314,1.0569349995909194e-10,0.00044906356039393675,14.945675121870035,528.6842937432671,-0.6476552681754539,0.12651662201544273,0.0796828523081031,0.3697471600404262,0.40835199784994125,0.4322140767555225
315,gaussian-blur5,resnext,0.5709,0.27582690431052825,0.013799925054760187,-1.2578360672057807,2.6217001659889494e-12,0.0001645680757389811,10.839211801605224,435.21851857244496,-0.770667706573229,0.04811376883847641,0.032602175827259106,0.41139147757011374,0.503777484023571,0.277584802804769
316,gaussian-blur5,wide_resnet,0.54804,0.41214806532179005,-0.051375967124249605,-2.187698201650667,5.843999329596672e-13,0.0003821611806449,8.473439724454877,358.09019320789344,-0.7762331721456437,0.06702481256050061,0.07729315187206659,0.39232584945321014,0.49140391433238967,0.4305224957873278
317,gaussian-blur5,densenet121,0.62784,0.5595945841967501,0.0489010651780441,-3.3574540301895763,1.7890710007212318e-10,0.0005767851292188,11.774321876015666,468.57148990516663,-0.8222042658007336,0.10584280713465989,0.1119448317704503,0.43691632409879777,0.5167900044322016,0.5417666614315053
318,gaussian-blur5,googlenet,0.6479999999999999,0.5579803778544442,0.19825549468654471,-3.8715033278954607,1.0959300090693236e-11,0.0004958244977110972,15.222888041553496,562.541267313385,-0.7642488716232434,0.12669299512127408,0.09135652692774701,0.4780642929942781,0.5361559237647057,0.4959430382369342
319,gaussian-blur5,mobilenet,0.6587999999999999,0.2993040327096078,0.1811095406486502,-1.818322772514792,3.3061999318850788e-12,0.00018164559321785518,14.809454594550136,526.014956061325,-0.5769303967145869,0.070671212268332,0.0329196090869525,0.40250092340628163,0.44775491356611247,0.2609069158516924
320,impulse-noise,resnet50,0.39581999999999995,0.18843678495183588,-0.0013153244074196047,-0.7998116411778335,1.974400027152101e-12,0.00011230472803086152,7.478496298985483,305.7273247058105,-0.5489984659987687,0.0307423351825028,0.0225463016767466,0.29894986542027846,0.3676935837554931,0.19333201779493853
321,impulse-noise5,resnet18,0.68154,0.5227774448415079,0.11416551112980208,-3.2111523411263727,1.5149819983586998e-10,0.0005420153844147392,10.162986652545932,416.539167273407,-0.7518254367248743,0.09969538690354669,0.1039642820338759,0.4055050892759553,0.4757466727375984,0.5005507955994236
322,impulse-noise5,resnet34,0.70312,0.4498195275852457,0.0462092577238821,-2.3787166195588383,1.7860439993286348e-10,0.0005076806078936,7.660591161136626,331.14853655876163,-0.7244356350092621,0.06915800739601259,0.10249001231260751,0.36346457708130053,0.43834213889122015,0.46670421432502596
323,impulse-noise5,resnet101,0.70238,0.5050361208753846,-0.005204692276202488,-2.728586057900098,1.8991290007611128e-10,0.0005698848200634,8.652004131631852,369.04923646850585,-0.814093989834218,0.07921146664623172,0.11545465080791951,0.4022486646878989,0.5013850408554078,0.5276490084684146
324,impulse-noise5,resnet152,0.6777200000000001,0.5415909403853492,-0.017098450603623194,-3.06402100449913,1.9798060001303963e-10,0.0005999605326022,9.59427537067413,402.25832926456457,-0.8522891267533999,0.08957351304763929,0.1205004320770408,0.42373452874056206,0.5215717412281036,0.5564545923193286
325,impulse-noise5,vgg19,0.7162,0.5758518224854954,0.14198840287062928,-3.546561706661838,1.1300430014481166e-10,0.0005981185740071455,11.098045273108482,458.906661303978,-0.8491035196367519,0.10785470259664581,0.11537344236676139,0.44374972610810604,0.5165412542510033,0.5542329748153143
326,impulse-noise5,alexnet,0.5618,0.4077524661247992,0.1987554296802275,-2.5519934693482345,1.0505320008000196e-10,0.0004061003022882264,8.253495187163349,335.44058583572394,-0.5690283884675531,0.08283650303993381,0.07588255078209591,0.20241040743711203,0.23503728075742725,0.3738625274931367
327,speckle-noise5,vgg19,0.65794,0.5209347950962,0.09108619272796159,-3.0118235884475246,1.1110679997566875e-10,0.0005548107226375,9.881843219103814,409.8959038265609,-0.7884364306571022,0.092531730661206,0.10869465571096709,0.4005947457915018,0.47818393365621575,0.5129402930744243
328,impulse-noise5,resnext,0.64888,0.31726034203393394,0.03955610208554369,-1.6142525910625993,3.748599954750409e-12,0.0001845338185113234,12.801774942283632,503.022696479435,-0.8451384857683775,0.059869274025242704,0.035924491671691004,0.4538503820142592,0.5509544465613365,0.3102652571099896
